1,ID,Platform,Category,Cookie / Data Key name,Domain,Description,Retention period,Data Controller,User Privacy & GDPR Rights Portals,Wildcard match
2,256c0fe2-d881-11e9-8a34-2a2ae2dbcce4,Google Tag Manager,Functional,cookiePreferences,Advertiser's website domain (1st party),Registers cookie preferences of a user,2 years,Google,https://privacy.google.com/take-control.html,0
3,256c12b2-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,CookieConsent,cookiebot.com (3rd party) or advertiser's website domain (1st party),Registers cookie preferences of a user,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,1
4,256c1410-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,CookieConsentBulkTicket,cookiebot.com (3rd party),Enables sharing cookie preferences across domains / websites,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,0
5,256c1550-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,userlang,cookiebot.com (3rd party),Saves language preferences of user for a website,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,1
6,24daac45-6c94-4c77-a972-66a9e5248413,Maxlead,Functional,cookieconsent_variant,Advertiser's website domain (1st party),Stores the variant of shown cookie banner,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
7,87a6c581-24b5-4d1b-bf99-c0e493364625,Maxlead,Functional,cookieconsent_system,Advertiser's website domain (1st party),Cookie consent system cookie for saving user's cookie opt-in/out choices.,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
8,b735da18-68f1-4dd4-95d4-ee1e29f1d37f,Maxlead,Functional,cookieconsent_level,Advertiser's website domain (1st party),Cookie consent system cookie for storing the level of cookie consent.,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
9,551c9acd-8d52-4808-bf2c-88acc840c091,Maxlead,Functional,cookieconsent_seen,Advertiser's website domain (1st party),Used to support the GDPR / AVG compliant cookie consent system,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
10,6ca095be-4711-47f0-9e83-eecc86ff12c9,Cookiebot,Functional,CookieConsent,Advertiser's website domain (1st party),Stores the user's cookie consent state for the current domain,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,0
11,256c18e8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_ga,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users,2 years,Google,https://privacy.google.com/take-control.html,0
12,d7496a0e-7f4b-4e20-b288-9d5e4852fa79,Google Analytics,Analytics,_ga_,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users,2 years,Google,https://privacy.google.com/take-control.html,1
13,256c1ae6-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_gid,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users for 24 hours after last activity,24 hours,Google,https://privacy.google.com/take-control.html,0
14,256c1c3a-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_gat,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests when using Google Tag Manager,1 minute,Google,https://privacy.google.com/take-control.html,1
15,256c1d7a-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_dc_gtm_,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests,1 minute,Google,https://privacy.google.com/take-control.html,1
16,256c1eba-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,AMP_TOKEN,google-analytics.com (3rd party) or advertiser's website domain (1st party),"Contains a token code that is used to read out a Client ID from the AMP Client ID Service. By matching this ID with that of Google Analytics, users can be matched when switching between AMP content and non-AMP content.

Reference: https://support.google.com/analytics/answer/7486764?hl=en",30 seconds till 1 year,Google,https://privacy.google.com/take-control.html,0
17,2caa7a78-e93f-49ca-8fe6-1aaafae1efaa,Goolge Analytics,Analytics,_gat_gtag_,google-analytics.com (3rd party) or advertiser's website domain,Used to set and get tracking data,1 hour,Google,https://privacy.google.com/take-control.html,1
18,256c2090-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Marketing,_gac_,google-analytics.com (3rd party) or advertiser's website domain (1st party),Contains information related to marketing campaigns of the user. These are shared with Google AdWords / Google Ads when the Google Ads and Google Analytics accounts are linked together.,90 days,Google,https://privacy.google.com/take-control.html,1
19,256c26f8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utma,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users and sessions,2 years after last activity,Google,https://privacy.google.com/take-control.html,0
20,256c287e-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmt,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests,10 minutes,Google,https://privacy.google.com/take-control.html,0
21,256c29c8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmb,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to distinguish new sessions and visits. This cookie is set when the GA.js javascript library is loaded and there is no existing __utmb cookie. The cookie is updated every time data is sent to the Google Analytics server.,30 minutes after last activity,Google,https://privacy.google.com/take-control.html,0
22,256c2afe-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmc,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used only with old Urchin versions of Google Analytics and not with GA.js. Was used to distinguish between new sessions and visits at the end of a session.,End of session (browser),Google,https://privacy.google.com/take-control.html,0
23,256c2c3e-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmz,google-analytics.com (3rd party) or advertiser's website domain (1st party),Contains information about the traffic source or campaign that directed user to the website. The cookie is set when the GA.js javascript is loaded and updated when data is sent to the Google Anaytics server,6 months after last activity,Google,https://privacy.google.com/take-control.html,0
24,256c2d74-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmv,google-analytics.com (3rd party) or advertiser's website domain (1st party),Bevat custom informatie die door de webdeveloper is ingesteld via de _setCustomVar methode in Google Analytics. Deze cookie wordt iedere keer geupdate als er nieuwe gegevens naar de Google Analytics server worden gestuurd. ,2 years after last activity,Google,https://privacy.google.com/take-control.html,0
25,256c310c-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmx,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to determine whether a user is included in an A / B or Multivariate test.,18 months,Google,https://privacy.google.com/take-control.html,0
26,256c326a-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmxx,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to determine when the A / B or Multivariate test in which the user participates ends,18 months,Google,https://privacy.google.com/take-control.html,0
27,f6f65358-15e8-4dcc-9014-13ae87d0e880,Google reCAPTCHA,Functional,_GRECAPTCHA,google.com,Google reCAPTCHA sets a necessary cookie (_GRECAPTCHA) when executed for the purpose of providing its risk analysis.,179 days,Google,https://privacy.google.com/take-control.html,0
28,256c33aa-d881-11e9-8a34-2a2ae2dbcce4,comScore,Analytics,S1,nl.sitestat.com (3rd party),Comscore: statistical and analytical data,5 years,comScore,https://www.comscore.com/About/Privacy-Policy,0
29,256c34e0-d881-11e9-8a34-2a2ae2dbcce4,comScore,Analytics,C1,nl.sitestat.com (3rd party),Comscore: statistical and analytical data,5 years,comScore,https://www.comscore.com/About/Privacy-Policy,0
30,256c3620-d881-11e9-8a34-2a2ae2dbcce4,Adobe Analytics,Analytics,s_cc,Advertiser's website domain (1st party),Used to determine if browser of user accepts cookies or not,End of session (browser),Advertiser's website,N/A,0
31,256c39ea-d881-11e9-8a34-2a2ae2dbcce4,Adobe Analytics,Analytics,s_sq,Advertiser's website domain (1st party),Used to register the previous link clicked by the user,End of session (browser),Advertiser's website,N/A,0
32,256c3b48-d881-11e9-8a34-2a2ae2dbcce4,Adobe Analytics,Analytics,s_vi,Advertiser's website domain (1st party) or 207.net (3rd party),Contains a unique ID to identify a user,2 years,Advertiser's website,N/A,1
33,256c3c92-d881-11e9-8a34-2a2ae2dbcce4,Adobe Analytics,Analytics,s_fid,Advertiser's website domain (1st party),Alternative cookie with unique user ID / timestamp when the s_vi cookie can not be set for technical reasons,5 years,Advertiser's website,N/A,0
34,34ec510b-b257-4c77-80f0-660b068a30f7,Adobe Analytics,Analytics,fid,Advertiser's website domain (1st party),"If other visitor ID methods fail, Adobe sets a fallback cookie or uses a combination of IP address and user agent to identify the visitor.",2 years,Advertiser's website,N/A,0
35,256c3dc8-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,demdex,Advertiser's website domain (1st party) or demdex.net (3rd party),"Unique value with which Audience Manager can identify a user. Used, among others, for identification, segmentation, modeling and reporting purposes.",180 days after last activity or 10 years when opting out,Adobe,https://www.adobe.com/nl/privacy.html,0
36,256c3efe-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,dextp,Advertiser's website domain (1st party),Registers the date plus time (timestamp) on which a data synchronization was last performed by the Audience Manager.,180 days after last activity ,Adobe,https://www.adobe.com/nl/privacy.html,0
37,256c4034-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,dst,Advertiser's website domain (1st party),Used to register a possible error message when sending data to a linked system.,180 days after last activity or 10 years when opting out,Adobe,https://www.adobe.com/nl/privacy.html,0
38,256c43e0-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,_dp,Advertiser's website domain (1st party) or demdex.net (3rd party),Used to determine if browser of user accepts cookies or not,30 seconds,Adobe,https://www.adobe.com/nl/privacy.html,0
